Chasing Aurora,WiiU,60,Action,11
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?,3DS,85,Adventure,11
Madden NFL 13,Wii,83,Sports,11
Warriors Orochi 3 Hyper,WiiU,70,Action,11
Transformers Prime,WiiU,78,Action,11
Skylanders Battlegrounds,iPhone,66,Action,11
Rage of the Gladiator,iPhone,76,Action,11
FIFA Soccer 13,WiiU,60,Sports,11
Family Guy: Back to the Multiverse,X360,60,Adventure,11
Family Guy: Back to the Multiverse,PS3,60,Adventure,11
Little Inferno,PC,50,Puzzle,11
Little Inferno,WiiU,50,Puzzle,11
The Walking Dead -- Game of the Year Edition,PS3,93,Adventure,12
The Walking Dead -- Game of the Year Edition,X360,93,Adventure,12
The Walking Dead: A Telltale Game Series -- Season One,iPad,93,Adventure,12
Minigore 2: Zombies,iPhone,91,Shooter,12
Jet Set Radio,iPhone,56,Action,12
Forge,PC,70,Shooter,12
Nancy Drew: The Deadly Device,PC,68,Adventure,12
Into the Dead,iPhone,70,Action,12
Just Dance 4,WiiU,53,Music,12
Borderlands 2: Sir Hammerlock's Big Game Hunt,PC,69,Shooter RPG,1
Borderlands 2: Sir Hammerlock's Big Game Hunt,PS3,69,Shooter RPG,1
DmC: Devil May Cry,PC,89,Action,1
Unchained Blades,3DS,80,RPG,1
DmC: Devil May Cry,PS3,85,Action,1
The Earth Defense Force 2017 Portable,PSV,75,Action,1
007 Legends,WiiU,42,Action,1
Wraithborne,iPhone,52,Action,11
Persona 4 Golden,PSV,93,RPG,11
Call of Duty: Black Ops II,WiiU,93,Shooter,11
Rabbids Land,WiiU,50,Party,11
Tekken Tag Tournament 2: Wii U Edition,WiiU,75,Fighting,11
Far Cry 3,PC,90,Shooter,11
Madden NFL 13,WiiU,83,Sports,11
Far Cry 3,PS3,90,Shooter,11
Little Inferno,Macintosh,50,Puzzle,11
Little Inferno,iPad,50,Puzzle,11
Little Inferno,Linux,50,Puzzle,11
Little Inferno,iPhone,50,Puzzle,11
Little Chomp,iPhone,80,Action,11
Trine 2: Director's Cut,WiiU,90,Action,11
LEGO The Lord of the Rings [Portable],3DS,38,Action Adventure,11
LEGO The Lord of the Rings [Portable],PSV,38,Action Adventure,11
LEGO The Lord of the Rings,X360,68,Action Adventure,11
Writer Rumble,iPhone,82,Puzzle Word Game,12
Mass Effect,PS3,90,RPG,12
Guilty Gear XX Accent Core Plus,X360,83,Fighting,12
Guilty Gear XX Accent Core Plus,PS3,83,Fighting,12
Uncharted: Fight For Fortune,PSV,70,Card Battle,12
Modern Combat 4: Zero Hour,iPhone,78,Shooter,12
Wonderbook: Book  of Spells,PS3,60,Simulation Adventure,12
Rift: Storm Legion,PC,83,RPG,12
Joe Danger,iPhone,91,Action,1
DmC: Devil May Cry,X360,89,Action,1
Anarchy Reigns,X360,59,Action,1
Anarchy Reigns,PS3,59,Action,1
Kentucky Route Zero: Act 1,PC,83,Adventure,1
Primordia,PC,68,Adventure,1
Mutant Mudds,iPhone,91,Platform,1
Far Cry 3,X360,90,Shooter,11
Mass Effect 3 (Special Edition),WiiU,95,RPG,11
Nano Assault Neo,WiiU,90,Shooter,11
Disney Epic Mickey: Power of Illusion,3DS,70,Action Adventure,11
Assassin's Creed III,WiiU,85,Action Adventure,11
Borderlands 2: Mr. Torgue's Campaign of Carnage,PC,92,Shooter RPG,11
Scribblenauts Unlimited,PC,88,Puzzle Action,11
Borderlands 2: Mr. Torgue's Campaign of Carnage,X360,92,Shooter RPG,11
PlayStation All-Stars Battle Royale,PSV,80,Fighting,11
Jetpack Joyride,PSP,74,Platform,11
LEGO The Lord of the Rings,PS3,68,Action Adventure,11
The Walking Dead: Assault,iPhone,75,Adventure,12
Miasmata,PC,79,Adventure,12
Bladeslinger: Episode 1,iPhone,72,Action,12
Funky Barn,WiiU,50,Simulation,12
ESPN Sports Connection,WiiU,30,Sports,12
Sonic & All-Stars Racing Transformed,WiiU,88,Racing Action,11
Infestation: Survivor Stories,PC,30,Action,1
Labyrinth Legends,PS3,77,RPG,1
Ace of Spades,PC,59,Shooter,1
Monsters Inc. Run,iPhone,77,Action,1
Pudding Monsters,iPhone,73,Puzzle Adventure,12
Borderlands 2: Mr. Torgue's Campaign of Carnage,PS3,92,Shooter RPG,11
PlayStation All-Stars Battle Royale,PS3,80,Fighting,11
NBA 2K13,WiiU,91,Sports,11
The Walking Dead: The Game -- Episode 5: No Time Left,X360,95,Adventure,11
NFL Quarterback Club '97,PS,50,Sports,11
Namco Museum Vol. 2,PS,60,Action Compilation,11
Raven Project,PS,30,Action,11
Silverload,PS,60,Adventure,11
Return Fire,PS,70,Action,11
