SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,82,79
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,90,87
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,82,79
Resident Evil 4,PS2,2005,Action,Capcom,96,89
Guitar Hero: World Tour,Wii,2008,Misc,Activision,86,76
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,91,76
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,82,87
The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,64,77
Luigi's Mansion,GC,2001,Action,Nintendo,78,85
Battlefield 4,PS4,2013,Shooter,Electronic Arts,85,69
Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,84,90
Just Dance 2014,Wii,2013,Misc,Ubisoft,0,62
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,70,80
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,78,78
The Getaway,PS2,2002,Action,Sony Computer Entertainment,72,68
James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,72,79
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,88,75
Left 4 Dead,X360,2008,Shooter,Electronic Arts,89,79
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,72,41
Resident Evil 5,X360,2009,Action,Capcom,83,75
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,89,83
FIFA Soccer 2004,PS2,0000,Sports,Electronic Arts,84,64
Battlefield 4,PS3,2013,Shooter,Electronic Arts,80,58
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,92,87
Battlefield 4,X360,2013,Shooter,Electronic Arts,79,56
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,88,86
Guitar Hero: On Tour,DS,2008,Misc,Activision,71,88
Clubhouse Games,DS,2006,Misc,Nintendo,83,84
Borderlands,X360,2009,Shooter,Take-Two Interactive,84,82
Tekken 4,PS2,2002,Fighting,Namco Bandai Games,79,83
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,70,80
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,93,82
Spider-Man 2,PS2,2004,Action,Activision,80,89
FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,88,67
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,91,84
Crash Bash,PS,2000,Misc,Sony Computer Entertainment,68,82
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,76,68
LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,76,79
Destiny,XOne,2014,Shooter,Activision,75,55
Far Cry 3,PS3,2012,Shooter,Ubisoft,90,85
James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,77,85
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,60,72
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,87,78
Max Payne,PS2,2001,Shooter,Take-Two Interactive,80,85
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,86,79
The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,85,87
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,82,75
True Crime: Streets of LA,PS2,2003,Action,Activision,77,80
Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,86,92
FIFA 16,XOne,2015,Sports,Electronic Arts,84,44
Wii Music,Wii,2008,Misc,Nintendo,63,46
Madden NFL 16,PS4,2015,Sports,Electronic Arts,83,59
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,81,77
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,85,72
Super Mario Maker,WiiU,2015,Platform,Nintendo,88,87
God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,91,86
Enter the Matrix,PS2,2003,Action,Atari,62,81
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,83,80
Dance Central,X360,2010,Misc,MTV Games,82,76
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,89,77
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,89,91
Animal Crossing,GC,2001,Simulation,Nintendo,87,89
FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,83,65
Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,0,80
Spider-Man,PS,2000,Action,Activision,87,90
Mario Party 9,Wii,2012,Misc,Nintendo,73,68
Sonic Rush,DS,2005,Platform,Sega,82,85
Rhythm Heaven,DS,2008,Misc,Nintendo,83,90
Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,82,78
Personal Trainer: Cooking,DS,2006,Misc,Nintendo,81,78
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,93,80
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,91,89
Resident Evil 6,PS3,2012,Shooter,Capcom,74,54
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,96,89
Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,67,79
Madden NFL 2002,PS2,2001,Sports,Electronic Arts,94,79
The Sims: Vacation,PC,2002,Simulation,Electronic Arts,75,78
LEGO Batman: The Videogame,Wii,0000,Action,Warner Bros. Interactive Entertainment,74,79
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,66,69
The Sims 4,PC,2014,Simulation,Electronic Arts,70,39
Borderlands 2,X360,2012,Shooter,Take-Two Interactive,89,82
LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,72,80
Kung Fu Panda,X360,2008,Action,Activision,75,74
Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,93,58
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,87,77
Saints Row 2,X360,2008,Action,THQ,81,81
Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,93,85
FIFA 14,PS4,2013,Sports,Electronic Arts,87,63
Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,91,81
Far Cry 3,X360,2012,Shooter,Ubisoft,91,86
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,73,70
